escenario,clasificador,n_muestra,n_total,replica,riesgo_verdadero,riesgo_cv_mean,riesgo_cv_std,brecha_bayes
Balanceado_MismaCov,Bayes,100,200,3,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,3,,0.25,0.05244044240850758,0.005299999999999999
Balanceado_MismaCov,LDA,100,200,3,,0.24499999999999997,0.05567764362830022,0.00029999999999996696
Balanceado_MismaCov,QDA,100,200,3,,0.25,0.05244044240850758,0.005299999999999999
Balanceado_MismaCov,KNN-1,100,200,3,,0.32,0.07968688725254612,0.0753
Balanceado_MismaCov,KNN-5,100,200,3,,0.26,0.07348469228349531,0.015300000000000008
Balanceado_MismaCov,KNN-21,100,200,3,,0.23499999999999996,0.048989794855663564,-0.009700000000000042
Balanceado_MismaCov,GB,100,200,3,,0.23999999999999994,0.04358898943540673,-0.004700000000000065
Balanceado_MismaCov,Bayes,100,200,4,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,4,,0.24500000000000002,0.04301162633521313,0.00030000000000002247
Balanceado_MismaCov,LDA,100,200,4,,0.23500000000000001,0.033911649915626334,-0.009699999999999986
Balanceado_MismaCov,QDA,100,200,4,,0.25,0.044721359549995794,0.005299999999999999
Balanceado_MismaCov,KNN-1,100,200,4,,0.385,0.07176350047203663,0.1403
Balanceado_MismaCov,KNN-5,100,200,4,,0.29,0.06041522986797287,0.04529999999999998
Balanceado_MismaCov,KNN-21,100,200,4,,0.23500000000000001,0.03741657386773941,-0.009699999999999986
Balanceado_MismaCov,GB,100,200,4,,0.24,0.025495097567963948,-0.00470000000000001
Balanceado_MismaCov,Bayes,100,200,5,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,5,,0.205,0.06204836822995426,-0.03970000000000001
Balanceado_MismaCov,LDA,100,200,5,,0.215,0.06999999999999999,-0.029700000000000004
Balanceado_MismaCov,QDA,100,200,5,,0.2,0.07582875444051548,-0.04469999999999999
Balanceado_MismaCov,KNN-1,100,200,5,,0.28500000000000003,0.037416573867739396,0.04030000000000003
Balanceado_MismaCov,KNN-5,100,200,5,,0.22999999999999998,0.06782329983125268,-0.014700000000000019
Balanceado_MismaCov,KNN-21,100,200,5,,0.21500000000000002,0.09823441352194251,-0.029699999999999976
Balanceado_MismaCov,GB,100,200,5,,0.21000000000000002,0.06244997998398395,-0.03469999999999998
Balanceado_MismaCov,Bayes,100,200,6,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,6,,0.22999999999999998,0.06595452979136458,-0.014700000000000019
Balanceado_MismaCov,LDA,100,200,6,,0.22999999999999998,0.06595452979136458,-0.014700000000000019
Balanceado_MismaCov,QDA,100,200,6,,0.23500000000000001,0.07516648189186453,-0.009699999999999986
Balanceado_MismaCov,KNN-1,100,200,6,,0.32,0.0678232998312527,0.0753
Balanceado_MismaCov,KNN-5,100,200,6,,0.27,0.06782329983125268,0.025300000000000017
Balanceado_MismaCov,KNN-21,100,200,6,,0.225,0.07071067811865474,-0.019699999999999995
Balanceado_MismaCov,GB,100,200,6,,0.21000000000000005,0.06442049363362563,-0.03469999999999995
Balanceado_MismaCov,Bayes,100,200,7,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,7,,0.24999999999999994,0.0447213595499958,0.005299999999999944
Balanceado_MismaCov,LDA,100,200,7,,0.24999999999999994,0.0447213595499958,0.005299999999999944
Balanceado_MismaCov,QDA,100,200,7,,0.24999999999999994,0.0447213595499958,0.005299999999999944
Balanceado_MismaCov,KNN-1,100,200,7,,0.295,0.05787918451395114,0.050299999999999984
Balanceado_MismaCov,KNN-5,100,200,7,,0.27,0.036742346141747706,0.025300000000000017
Balanceado_MismaCov,KNN-21,100,200,7,,0.255,0.04301162633521313,0.010300000000000004
Balanceado_MismaCov,GB,100,200,7,,0.24499999999999997,0.04301162633521313,0.00029999999999996696
Balanceado_MismaCov,Bayes,100,200,8,0.2447,0.2447,0.0,0.0
Balanceado_MismaCov,GNB,100,200,8,,0.23499999999999996,0.04636809247747852,-0.009700000000000042
Balanceado_MismaCov,LDA,100,200,8,,0.22999999999999998,0.02915475947422653,-0.014700000000000019
Balanceado_MismaCov,QDA,100,200,8,,0.23499999999999996,0.04636809247747852,-0.009700000000000042
